template_column,hbox_source,confidence,notes
EMR_ID,MRN,high,
PATIENT_EMR_NAME,Patient,high,
FIRST_NAME,Patient First Name,high,
MIDDLE_NAME,NOT MATCHED,low,
LAST_NAME,Patient Last Name,high,
PATIENT_FULL_NAME,Patient,high,
DATE_OF_BIRTH,DOB,high,
GENDER,Sex,high,
STREET_ADDRESS,"Street Address; Street Address Ln 3",high,"Concatenate Street Address and Street Address Ln 3 (if present)"
CITY,Pt City,high,
STATE,NOT MATCHED,low,
ZIP,ZIP,high,
HOME_PHONE,Phone,high,"Extract labeled 'Hm'/'Home' or unlabeled heuristics"
MOBILE_PHONE,Phone,high,"Extract labeled 'Cell'/'Mobile' or unlabeled mobile heuristic"
WORK_PHONE,Phone,high,"Extract labeled 'wk'/'Work'"
EMAIL_ADDRESS,Pt. E-mail Address,high,
LANGUAGE,Language,high,
EMERGENCY_CONTACT_NAME,Emergency Contact Name,high,
EMERGENCY_RELATIONSHIP,NOT MATCHED,low,
EMERGENCY_CONTACT_HOME_PHONE,Emerg Contact Ph,medium,"Map by label"
EMERGENCY_CONTACT_MOBILE_PHONE,Emerg Contact Ph,medium,"Map by label"
PRIMARY_INSURANCE,"Primary Cvg; Primary Payer",high,
PRIMARY_ID,"Primary Mem ID; Medicare Sub ID",high,
PRIMARY_GROUP_NO,NOT MATCHED,low,
SECONDARY_INSURANCE,"Secondary Cvg; Secondary Payer",high,
SECONDARY_ID,Pat Secondary CVG Payer ID,high,
SECONDARY_GROUP_NO,NOT MATCHED,low,
TERITARY_INSURANCE,Tertiary Payer,high,
TERITARY_ID,"Tertiary Mem ID; Pat Tertiary CVG Payer ID",high,
TERITARY_GROUP_NO,NOT MATCHED,low,
INSURANCE_TYPE,Primary Payer,medium,
CO-PAY,Copay Due,high,
CO_INSURANCE,NOT MATCHED,low,
CORONARY_ARTERY_DISEASE,Problem List,high,"Match via disease CSV cause 'Coronary Artery Disease'"
ARRHYTHMIA,Problem List,high,"Match via disease CSV cause 'Arrhythmia'"
CONGESTIVE_HEART_FAILURE,Problem List,high,"Match via disease CSV cause 'CHF (Congestive Heart Failure)'"
PERIPHERAL_VASCULAR,Problem List,high,"Match via disease CSV cause 'Peripheral Vascular Disease'"
VALVULAR_HEART,Problem List,high,"Match via disease CSV cause 'Valvular Heart Disease'"
CERBOVASCULAR_ACCIDENT,Problem List,high,"Match via disease CSV cause 'Cerebrovascular Accident'"
HYPERLIPIDEMIA,Problem List,high,"Match via disease CSV cause 'Hyperlipidemia'"
ANGINA_PECTORIS,Problem List,high,"Match via disease CSV cause 'Angina Pectoris'"
HYPOTENSION,Problem List,high,"Match via disease CSV cause 'Hypotension'"
HYPERTENSION,Problem List,high,"Match via disease CSV cause 'Hypertension or Pre Hypertensive'"
OBESITY,Problem List,high,"Match via disease CSV cause 'Obesity'"
DIABETES,Problem List,high,"Match via disease CSV cause 'Type 2 Diabetes'"
CHRONIC_KIDNEY_DISEASE,Problem List,high,"Match via disease CSV cause 'Chronic Kidney'"
COPD,Problem List,high,"Match via disease CSV cause 'COPD'"
RESPIRATORY_FAILURE,Problem List,high,"Match via disease CSV cause 'Respiratory Failure'"
ASTHMA,Problem List,high,"Match via disease CSV cause 'Asthma'"
SLEEP_APNEA,Problem List,high,"Match via disease CSV cause 'Sleep Apnea'"
DYSPNEA,Problem List,high,"Match via disease CSV cause 'Dyspnea'"
EMPHYSEMA,Problem List,high,"Match via disease CSV cause 'Emphysema'"
BRONCHIECTASIS,Problem List,high,"Match via disease CSV cause 'Bronchiectasis'"
HYPOXEMIA,Problem List,high,"Match via disease CSV cause 'Hypoxemia'"
PRIMARY_DX,Problem List,high,"Use disease CSV matches: prefer token with 'primary', else first matched cause"
SECONDARY_DX,Problem List + cross-row,high,"Use disease CSV matches: prefer token with 'secondary'; else next match; if none, use other-row primary as secondary"
LAST_SEEN_DATE,Last Visit Date,high,
NEXT_APPT_DATE,Next Appt Date and Provider,high,"Extract date"
PROVIDER_DATA,"Attend Prov; Encounter Provider",medium,
PROVIDER_NAME,Next Appt Date and Provider / Attend Prov / Encounter Provider,high,
CLINIC_FACILITY,Dept/Loc,high,
